Event,Room,Category,Color,TimeSlot,Utility
"""In the Name of the Moon!"" History of the Sailor Moon Franchis e","('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['14:00', '14:15', '14:30', '14:45']",5.0
"""Make It to Fake It"" (How to Make EVA Foam Look Like Anything )","('Sheraton', 'Workshop Fairfax')",Arts and Crafting|Partner Content,#CC99FF|#FF69B4,"['09:30', '09:45', '10:00', '10:15']",
2025 Anime Boston Karaoke Contest,"('Hynes', 'Events 302')",Family Friendly,#A64FF7,"['17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15']",5.0
AMV Contest,"('Hynes', 'Ballroom B')",Video,#66A3D2,"['09:30', '09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45']",4.0
AMV HELL 8,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['20:15', '20:30', '20:45', '21:00', '21:15', '21:30']",5.0
Adrenaline Beat,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['21:45', '22:00', '22:15', '22:30', '22:45', '23:00']",4.0
Ainu Representation in Anime: Kawaii & Colonialism,"('Sheraton', 'Panel Gardner')",Panel,#72B7ED,"['14:00', '14:15', '14:30', '14:45']",6.0
Akira Kurosawa: The Director's Adaptations,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['20:30', '20:45', '21:00', '21:15']",6.0
All the Mecha You'll Ever Need,"('Hynes', 'Panel 207')",Anime,#FFFF00,"['12:30', '12:45', '13:00', '13:15']",4.0
An Introduction to Jirai Kei,"('Sheraton', 'Panel Gardner')",Fashion,#CC99FF,"['09:30', '09:45', '10:00', '10:15']",5.0
Anatomy of Anime,"('Sheraton', 'Panel Republic')",Fan Content,#FF69B4,"['19:00', '19:15', '19:30', '19:45']",5.0
Anime According to AMVs,"('Hynes', 'Fan Creations 312')",Gameshow,#72B7ED,"['14:45', '15:00', '15:15', '15:30']",7.0
Anime Connect - Anime's Toughest Quiz Show,"('Hynes', 'Panel 309')",Representation,#00FFFF,"['12:00', '12:15', '12:30', '12:45']",4.0
Anime Fashion Crimes: Tokyo Drift,"('Hynes', 'Panel 309')",Panel,#72B7ED,"['16:30', '16:45', '17:00', '17:15']",6.0
Anime Hero's Journey,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['19:30', '19:45', '20:00', '20:15']",6.0
Anime Unscripted,"('Sheraton', 'Grand Ballroom')",Stage Show,#AFE1F1,"['12:30', '12:45', '13:00', '13:15', '13:30', '13:45']",6.0
Anime You May have Missed or should never admit to watching,"('Sheraton', 'Grand Ballroom')",Anime,#FFFF00,"['19:00', '19:15', '19:30', '19:45', '20:00', '20:15']",4.0
Anime Zeigeist in the 2000s,"('Hynes', 'Panel 309')",Panel,#72B7ED,"['18:00', '18:15', '18:30', '18:45']",6.0
Anime in Hollywood,"('Hynes', 'Panel 208')",Guest Content,#00FF00,"['19:00', '19:15', '19:30', '19:45']",5.0
Anime on Video: We Love Physical Media!,"('Hynes', 'Panel 208')",Guest Content,#00FF00,"['17:30', '17:45', '18:00', '18:15']",5.0
Arcs and Lessons in Tokyo Revengers,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['23:30', '23:45', '00:00', '00:15']",5.0
BL Manga Making with Ayamine-sensei,"('Hynes', 'Panel 207')",Guest Content,#00FF00,"['17:00', '17:15', '17:30', '17:45']",5.0
BLUE ENCOUNT Q&A,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['11:30', '11:45', '12:00', '12:15']",6.0
Beginner's Guide to Tokusatsu,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['10:00', '10:15', '10:30', '10:45']",6.0
Black Characters Matter: The Intersection of Race and Otaku Culture,"('Hynes', 'Panel 208')",Representation,#00FFFF,"['16:00', '16:15', '16:30', '16:45']",4.0
Bungo Stray Dogs: Themes of War and Conflict,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['19:00', '19:15', '19:30', '19:45']",6.0
Celebrity Voices in Anime,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['14:30', '14:45', '15:00', '15:15']",6.0
"Cloak, Dagger, Kimono, Katana: Spycraft And Other Dirty Deeds In Animation","('Sheraton', 'Panel Constitution B')",Partner Content,#FF69B4,"['10:30', '10:45', '11:00', '11:15']",5.0
Comedy AMVs,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['12:15', '12:30', '12:45', '13:00']",5.0
Coming Attractions: AMV Trailers,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['19:15', '19:30', '19:45']",4.0
Cosplay Music Videos,"('Hynes', 'Fan Creations 312')",Cosplay,#CC99FF,"['10:00', '10:15', '10:30', '10:45']",5.0
Cosplay Posing 101,"('Hynes', 'Panel 207')",Cosplay,#CC99FF,"['09:30', '09:45', '10:00', '10:15']",5.0
Cosplay Wigs for Beginners,"('Hynes', 'Panel 309')",Cosplay,#CC99FF,"['13:30', '13:45', '14:00', '14:15']",5.0
DMBJ Only-Discover Chinese ACGN culture,"('Hynes', 'Panel 207')",Fan Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15']",5.0
Dark Horse Industry Panel,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['13:00', '13:15', '13:30', '13:45']",6.0
"Dear Jujutsu Kaisen, Have We Met Before?","('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['19:30', '19:45', '20:00', '20:15']",6.0
Disney Through AMVs,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['13:30', '13:45', '14:00', '14:15']",5.0
Enter the Wired: Serial Experiments Lain in 2025,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['01:00', '01:15', '01:30', '01:45']",5.0
Fact or Fiction: Historical Accuracy in Anime,"('Sheraton', 'Panel Republic')",Panel,#72B7ED,"['20:30', '20:45', '21:00', '21:15']",6.0
Family Feud,"('Hynes', 'Events 302')",Gameshow,#72B7ED,"['15:30', '15:45', '16:00', '16:15']",7.0
Fantasy Never Dies: Metaphor ReFantazio in Forsaken Times,"('Hynes', 'Panel 202')",Gaming,#FFCC00,"['13:30', '13:45', '14:00', '14:15']",6.0
Food and Friendship: Cooking Through the World of Persona,"('Hynes', 'Panel 310')",Food,#FFCCFF,"['09:30', '09:45', '10:00', '10:15']",6.0
Frills and Bills: A Lolita Shopping Guide,"('Hynes', 'Panel 202')",Fashion,#CC99FF,"['15:00', '15:15', '15:30', '15:45']",5.0
Fruits Basket and the Inevitability of Love,"('Hynes', 'Panel 207')",Panel,#72B7ED,"['11:00', '11:15', '11:30', '11:45']",6.0
GaoGaiGar: The King of Braves,"('Hynes', 'Video 210')",Video,#66A3D2,"['20:00', '20:15', '20:30', '20:45', '21:00', '21:15', '21:30', '21:45']",4.0
Genshin Impact Gathering,"('Hynes', 'Ballroom A')",Social Gatherings,#FF3366,"['14:30', '14:45', '15:00', '15:15']",5.0
Getter Robo Armageddon,"('Hynes', 'Video 210')",Video,#66A3D2,"['18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45']",4.0
Ghost Stories: Ghosts Beyond the Infamous Dub,"('Sheraton', 'Panel Constitution A')",Fan Content,#FF69B4,"['16:00', '16:15', '16:30', '16:45']",5.0
Going All Out with the Cast of Dandadan,"('Sheraton', 'Panel Republic')",Guest Content,#00FF00,"['15:30', '15:45', '16:00', '16:15']",5.0
Gundam Building - Beginner,"('Sheraton', 'Panel Gardner')",Partner Content|Workshop,#F7931E|#FF69B4,"['11:00', '11:15', '11:30', '11:45']",
Gundam Building - Intermediate,"('Sheraton', 'Panel Gardner')",Workshop,#F7931E,"['12:30', '12:45', '13:00', '13:15']",5.0
HIDIVE Presents Is It Wrong to Try to Pick Up Girls in a Dungeon? 10th Anniversary Dub Panel,"('Sheraton', 'Panel Republic')",Industry Content,#55ED99,"['17:30', '17:45', '18:00', '18:15']",5.0
Husbandos and Himbos: Otome Games and You!,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['12:00', '12:15', '12:30', '12:45']",6.0
"I'm not OLD, But My Knees ARE Creaking (2015)","('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['16:45', '17:00', '17:15', '17:30']",5.0
In Character Contest - Finals,"('Hynes', 'Memorial Auditorium')",Cosplay,#CC99FF,"['14:00', '14:15', '14:30', '14:45']",5.0
Ironmouse Q & A Live,"('Hynes', 'Ballroom B')",Guest Content,#00FF00,"['14:00', '14:15', '14:30', '14:45']",5.0
It's Okay to Make Bad Art — The Art of Sucking,"('Hynes', 'Panel 202')",Partner Content,#FF69B4,"['22:30', '22:45', '23:00', '23:15']",5.0
J-Music and K-Music in AMVs,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['09:00', '09:15', '09:30', '09:45']",5.0
JET – Japanese Exchange and Teaching Program Information Session,"('Hynes', 'Panel 310')",Travel,#CCFFCC,"['11:00', '11:15', '11:30', '11:45']",5.0
Jam Zone: Cocolia,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['09:30', '09:45', '10:00', '10:15']",6.0
Jam Zone: Cometa,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['13:30', '13:45', '14:00', '14:15']",6.0
Jam Zone: Violinist Prince,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['11:30', '11:45', '12:00', '12:15']",6.0
Japan in the 1920s: An Overview,"('Sheraton', 'Panel Gardner')",Panel,#72B7ED,"['17:00', '17:15', '17:30', '17:45']",6.0
"Japanese Commercials to Make You Laugh, Cry, and Think","('Sheraton', 'Panel Constitution B')",Fan Content,#FF69B4,"['16:30', '16:45', '17:00', '17:15']",5.0
Japanese Pro Wrestling,"('Sheraton', 'Panel Gardner')",Panel,#72B7ED,"['21:30', '21:45', '22:00', '22:15']",6.0
JoJo's Bizarre Adventures Gathering,"('Hynes', 'Ballroom A')",Social Gatherings,#FF3366,"['11:30', '11:45', '12:00', '12:15']",5.0
K-Pop Random Dance Game,"('Hynes', 'Ballroom A')",Social Event,#F7931E,"['17:30', '17:45', '18:00', '18:15']",5.0
K-Pop Time!,"('Hynes', 'Ballroom A')",Music,#CCFFFF,"['16:00', '16:15', '16:30', '16:45']",6.0
Learn to Play: Weiss Schwarz TCG,"('Sheraton', 'Panel Gardner')",Fan Content,#FF69B4,"['18:30', '18:45', '19:00', '19:15']",5.0
Let'$ Bead Inu Yasha's GLOW Necklace!,"('Sheraton', 'Workshop Fairfax')",Arts and Crafting,#CC99FF,"['13:30', '13:45', '14:00', '14:15', '14:30', '14:45', '15:00', '15:15']",5.0
Let's $ew! Fat Rattling Frogs!,"('Sheraton', 'Workshop Fairfax')",Workshop,#F7931E,"['15:30', '15:45', '16:00', '16:15', '16:30', '16:45', '17:00', '17:15']",5.0
Let's $ew! Pickles!,"('Sheraton', 'Workshop Fairfax')",Workshop,#F7931E,"['17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15']",5.0
Let's get this bread: Baking in Japan,"('Hynes', 'Panel 310')",Panel,#72B7ED,"['17:30', '17:45', '18:00', '18:15']",6.0
Lip Sync Battle,"('Sheraton', 'Grand Ballroom')",Cosplay,#CC99FF,"['09:30', '09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:15']",5.0
Lolita and J-Fashion Show,"('Hynes', 'Events 302')",Stage Show,#AFE1F1,"['12:30', '12:45', '13:00', '13:15', '13:30', '13:45']",6.0
