Category,Color,Data Value,Utility
18+,#F44336,53,0
21+,#F44336,54,0
Activity,#F7931E,51,0
After Dark,#F44336,55,0
Anime,#FFFF00,76,0
Arts and Crafting,#CC99FF,63,0
Con Culture,#00FFFF,82,0
Concert,#AFE1F1,45,0
Cosplay,#CC99FF,65,0
Dance,#CCFFFF,68,0
Family Friendly,#A64FF7,56,0
Fan Content,#FF69B4,60,0
Fan Creations,#CCFF66,32,0
Fashion,#CC99FF,66,0
Food,#FFCCFF,70,0
Gameshow,#72B7ED,13,0
Gaming,#FFCC00,74,0
Guest Content,#00FF00,58,0
History,#CCFFCC,78,0
ID Check,#999999,20,0
Idols and VTubers,#CCFFFF,75,0
Industry Content,#55ED99,59,0
Language,#FFCCFF,71,0
Libraries & Education,#CCFF00,29,0
Manga,#CCFF00,64,0
Music,#CCFFFF,67,0
Myth and Folklore,#FFCCFF,84,0
Panel,#72B7ED,48,0
Partner Content,#FF69B4,61,0
Q&A,#72B7ED,49,0
Representation,#00FFFF,81,0
Room Clear,#CCCCCC,19,0
Seating,#CCCCCC,31,0
Social Event,#F7931E,50,0
Social Gatherings,#FF3366,42,0
Sports,#CCFFCC,80,0
Stage Show,#AFE1F1,47,0
Tournament,#F7931E,52,0
Travel,#CCFFCC,79,0
Video,#66A3D2,1,0
Workshop,#F7931E,21,0
