Event,Room,Utility_JW,Category,Color,TimeSlot
"""In the Name of the Moon!"" History of the Sailor Moon Franchise","('Hynes', 'Panel 310')",3.0,Fan Content,#FF69B4,"['14:00', '14:15', '14:30', '14:45']"
"""Make It to Fake It"" (How to Make EVA Foam Look Like Anything)","('Sheraton', 'Workshop Fairfax')",4.0,Arts and Crafting|Cosplay,#CC99FF,"['09:30', '09:45', '10:00', '10:15']"
20 Years in the Joint: A Like a Dragon Retrospective,"('Hynes', 'Panel 309')",6.5,18+,#F44336,"['21:30', '21:45', '22:00', '22:15']"
2025 Anime Boston Karaoke Contest,"('Hynes', 'Events 302')",6.0,Family Friendly,#A64FF7,"['17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15']"
3D Print Finishing Masterclass: Make a Genshin Vision,"('Sheraton', 'Workshop Fairfax')",3.0,18+,#F44336,"['11:30', '11:45', '12:00', '12:15', '12:30', '12:45']"
A Beginner's Guide to the Japanese Visual Novel,"('Hynes', 'Panel 208')",4.0,Fan Content,#FF69B4,"['22:00', '22:15', '22:30', '22:45', '23:00', '23:15']"
"A History of Studio ARMS, the forgotten studio behind Elfen Lied","('Hynes', 'Panel 208')",5.0,Panel,#72B7ED,"['20:30', '20:45', '21:00', '21:15']"
"A Look at Shimoneta, Censorship, and Sexual Repression","('Hynes', 'Panel 309')",3.0,Panel,#72B7ED,"['23:00', '23:15', '23:30', '23:45']"
AMV Contest,"('Hynes', 'Ballroom B')",10.0,Fan Creations|Video,#66A3D2|#CCFF66,"['09:30', '09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45']"
AMV HELL 8,"('Hynes', 'Fan Creations 312')",6.5,Fan Creations,#CCFF66,"['20:15', '20:30', '20:45', '21:00', '21:15', '21:30']"
Adrenaline Beat,"('Hynes', 'Fan Creations 312')",2.0,Video,#66A3D2,"['21:45', '22:00', '22:15', '22:30', '22:45', '23:00']"
Ainu Representation in Anime: Kawaii & Colonialism,"('Sheraton', 'Panel Gardner')",2.0,Panel,#72B7ED,"['14:00', '14:15', '14:30', '14:45']"
Akira Kurosawa: The Director's Adaptations,"('Sheraton', 'Panel Constitution A')",2.0,Fan Content,#FF69B4,"['20:30', '20:45', '21:00', '21:15']"
All the Mecha You'll Ever Need,"('Hynes', 'Panel 207')",2.0,Fan Content,#FF69B4,"['12:30', '12:45', '13:00', '13:15']"
An Introduction to Jirai Kei,"('Sheraton', 'Panel Gardner')",5.0,Panel,#72B7ED,"['09:30', '09:45', '10:00', '10:15']"
Anatomy of Anime,"('Sheraton', 'Panel Republic')",5.5,Anime,#FFFF00,"['19:00', '19:15', '19:30', '19:45']"
Anime According to AMVs,"('Hynes', 'Fan Creations 312')",9.5,Video,#66A3D2,"['14:45', '15:00', '15:15', '15:30']"
Anime Connect - Anime's Toughest Quiz Show,"('Hynes', 'Panel 309')",2.0,Representation,#00FFFF,"['12:00', '12:15', '12:30', '12:45']"
Anime Fashion Crimes: Tokyo Drift,"('Hynes', 'Panel 309')",2.0,Anime,#FFFF00,"['16:30', '16:45', '17:00', '17:15']"
Anime Hero's Journey,"('Hynes', 'Panel 202')",2.0,Fan Content,#FF69B4,"['19:30', '19:45', '20:00', '20:15']"
Anime Unscripted,"('Sheraton', 'Grand Ballroom')",10.0,Guest Content,#00FF00,"['12:30', '12:45', '13:00', '13:15', '13:30', '13:45']"
Anime You May have Missed or should never admit to watching,"('Sheraton', 'Grand Ballroom')",4.0,Panel,#72B7ED,"['19:00', '19:15', '19:30', '19:45', '20:00', '20:15']"
Anime Zeigeist in the 2000s,"('Hynes', 'Panel 309')",6.0,Panel,#72B7ED,"['18:00', '18:15', '18:30', '18:45']"
Anime in Hollywood,"('Hynes', 'Panel 208')",7.5,Guest Content,#00FF00,"['19:00', '19:15', '19:30', '19:45']"
Anime on Video: We Love Physical Media!,"('Hynes', 'Panel 208')",2.0,Guest Content,#00FF00,"['17:30', '17:45', '18:00', '18:15']"
Arcs and Lessons in Tokyo Revengers,"('Hynes', 'Panel 310')",3.0,Panel,#72B7ED,"['23:30', '23:45', '00:00', '00:15']"
BL Manga Making with Ayamine-sensei,"('Hynes', 'Panel 207')",2.0,Guest Content,#00FF00,"['17:00', '17:15', '17:30', '17:45']"
BL Recommendations For Every Mood & Trope,"('Sheraton', 'Panel Constitution B')",2.0,Fan Content,#FF69B4,"['21:00', '21:15', '21:30', '21:45']"
BLEACH: Thousand-Year Blood War,"('Hynes', 'Video 210')",2.0,Video,#66A3D2,"['10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45']"
BLUE ENCOUNT Q&A,"('Sheraton', 'Panel Constitution A')",2.0,Panel,#72B7ED,"['11:30', '11:45', '12:00', '12:15']"
Baddy Daddies ,"('Hynes', 'Panel 309')",6.0,Panel,#72B7ED,"['19:30', '19:45', '20:00', '20:15', '20:30', '20:45']"
Beginner's Guide to Tokusatsu,"('Hynes', 'Panel 208')",9.0,Fan Content,#FF69B4,"['10:00', '10:15', '10:30', '10:45']"
Big Fat Quiz Show of Cosplay,"('Hynes', 'Events 302')",3.0,Stage Show,#AFE1F1,"['22:30', '22:45', '23:00', '23:15']"
Black Characters Matter: The Intersection of Race and Otaku Culture,"('Hynes', 'Panel 208')",2.0,Fan Content,#FF69B4,"['16:00', '16:15', '16:30', '16:45']"
Bungo Stray Dogs: Themes of War and Conflict,"('Sheraton', 'Panel Constitution A')",3.0,Panel,#72B7ED,"['19:00', '19:15', '19:30', '19:45']"
Celebrity Voices in Anime,"('Hynes', 'Panel 208')",6.0,Guest Content,#00FF00,"['14:30', '14:45', '15:00', '15:15']"
"Cloak, Dagger, Kimono, Katana: Spycraft And Other Dirty Deeds In Animation","('Sheraton', 'Panel Constitution B')",6.5,Partner Content,#FF69B4,"['10:30', '10:45', '11:00', '11:15']"
Comedy AMVs,"('Hynes', 'Fan Creations 312')",10.0,Fan Creations,#CCFF66,"['12:15', '12:30', '12:45', '13:00']"
Coming Attractions: AMV Trailers,"('Hynes', 'Fan Creations 312')",6.0,Video,#66A3D2,"['19:15', '19:30', '19:45']"
Cosplay Music Videos,"('Hynes', 'Fan Creations 312')",2.0,Fan Creations,#CCFF66,"['10:00', '10:15', '10:30', '10:45']"
Cosplay Posing 101,"('Hynes', 'Panel 207')",2.0,Cosplay,#CC99FF,"['09:30', '09:45', '10:00', '10:15']"
Cosplay Shenanigans,"('Hynes', 'Events 302')",2.0,18+,#F44336,"['00:00', '00:15', '00:30', '00:45', '01:00', '01:15', '01:30', '01:45']"
Cosplay Wigs for Beginners,"('Hynes', 'Panel 309')",2.0,Cosplay,#CC99FF,"['13:30', '13:45', '14:00', '14:15']"
DEG 101: An Introduction to Hentai,"('Hynes', 'Panel 207')",6.5,Fan Content,#FF69B4,"['21:30', '21:45', '22:00', '22:15']"
DMBJ Only-Discover Chinese ACGN culture,"('Hynes', 'Panel 207')",2.0,Fan Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15']"
Dark Horse Industry Panel,"('Hynes', 'Panel 208')",5.0,Industry Content,#55ED99,"['13:00', '13:15', '13:30', '13:45']"
"Dear Jujutsu Kaisen, Have We Met Before?","('Sheraton', 'Panel Constitution B')",2.0,Fan Content,#FF69B4,"['19:30', '19:45', '20:00', '20:15']"
Disney Through AMVs,"('Hynes', 'Fan Creations 312')",5.5,Family Friendly,#A64FF7,"['13:30', '13:45', '14:00', '14:15']"
Enter the Wired: Serial Experiments Lain in 2025,"('Hynes', 'Panel 310')",2.0,Anime,#FFFF00,"['01:00', '01:15', '01:30', '01:45']"
